2026-01-08 22:33:34.673830 | Samples: 40 | Loss: 0.1276 | LR: 4.87e-05
2026-01-08 22:34:37.545521 | Samples: 40 | Loss: 0.1633 | LR: 4.87e-05
2026-01-08 22:35:32.922270 | Samples: 40 | Loss: 0.1557 | LR: 4.87e-05
2026-01-08 22:36:20.293708 | Samples: 40 | Loss: 0.1580 | LR: 4.87e-05
2026-01-08 22:37:19.990585 | Samples: 40 | Loss: 0.1326 | LR: 4.86e-05
2026-01-08 22:38:13.454820 | Samples: 40 | Loss: 0.1473 | LR: 4.86e-05
2026-01-08 22:39:18.288501 | Samples: 40 | Loss: 0.1369 | LR: 4.86e-05
2026-01-08 22:40:07.343189 | Samples: 40 | Loss: 0.1718 | LR: 4.86e-05
2026-01-08 22:40:55.076286 | Samples: 40 | Loss: 0.1696 | LR: 4.85e-05
2026-01-08 22:41:57.349293 | Samples: 40 | Loss: 0.2190 | LR: 4.85e-05
2026-01-08 22:42:47.006762 | Samples: 40 | Loss: 0.1721 | LR: 4.85e-05
2026-01-08 22:43:39.278143 | Samples: 40 | Loss: 0.1650 | LR: 4.84e-05
2026-01-08 22:44:30.219135 | Samples: 40 | Loss: 0.2261 | LR: 4.84e-05
2026-01-08 22:45:19.314519 | Samples: 40 | Loss: 0.1507 | LR: 4.84e-05
2026-01-08 22:46:09.986924 | Samples: 40 | Loss: 0.2015 | LR: 4.84e-05
2026-01-08 22:46:55.465381 | Samples: 40 | Loss: 0.1538 | LR: 4.83e-05
2026-01-08 22:47:52.078579 | Samples: 40 | Loss: 0.1638 | LR: 4.83e-05
2026-01-08 22:48:49.011608 | Samples: 40 | Loss: 0.1676 | LR: 4.83e-05
2026-01-08 22:49:37.533326 | Samples: 40 | Loss: 0.1562 | LR: 4.83e-05
2026-01-08 22:50:31.467263 | Samples: 40 | Loss: 0.1688 | LR: 4.82e-05
2026-01-08 22:51:19.931738 | Samples: 40 | Loss: 0.1544 | LR: 4.82e-05
2026-01-08 22:52:29.099783 | Samples: 40 | Loss: 0.1553 | LR: 4.82e-05
2026-01-08 22:53:27.976395 | Samples: 40 | Loss: 0.1323 | LR: 4.81e-05
2026-01-08 22:54:21.470917 | Samples: 40 | Loss: 0.1828 | LR: 4.81e-05
2026-01-08 22:55:10.157428 | Samples: 40 | Loss: 0.2089 | LR: 4.81e-05
2026-01-08 22:56:03.308416 | Samples: 40 | Loss: 0.1872 | LR: 4.80e-05
2026-01-08 22:56:59.074419 | Samples: 40 | Loss: 0.1413 | LR: 4.80e-05
2026-01-08 22:57:48.937747 | Samples: 40 | Loss: 0.1551 | LR: 4.80e-05
2026-01-08 22:58:39.176525 | Samples: 40 | Loss: 0.1464 | LR: 4.80e-05
